"","Semi-sup","SVM 0 %","Forest 0 %","Lasso 0 %","SVM 20 %","Forest 20 %","Lasso 20 %","SVM 50 %","Forest 50 %","Lasso 50 %"
"0.01",0.553879094022072,0.505794400052804,0.513287323921788,0.563644542351954,0.500007595207531,0.507621868557202,0.564311106896954,0.500483919495317,0.505462227040059,0.544067629161175
"0.015",0.562060554621086,0.509400238653422,0.521199949210159,0.597313089953907,0.500567225877571,0.513790938125913,0.573557378582009,0.497964535012968,0.50973778436458,0.544016781524021
"0.02",0.571279770432222,0.513527128134447,0.525666484018989,0.606840870605185,0.503732518326698,0.521823579836501,0.593980261029123,0.500306378581061,0.511174917263927,0.586540356595476
"0.025",0.563823805687782,0.516670652146702,0.529632079108775,0.626428769558142,0.507867858567302,0.521153652852141,0.599662407288784,0.504346130132055,0.516347644168071,0.582384246723983
"0.03",0.571744001696341,0.520832353685062,0.536073756892104,0.655030365724114,0.504042268470089,0.52033386962914,0.636545362876503,0.504320509922001,0.514022870443638,0.624900404895744
"0.035",0.575682008030031,0.520282939197814,0.537431403264051,0.657726994691986,0.5077011996312,0.523723281292655,0.648816990568807,0.50001701158036,0.511204752837865,0.631143136581661
"0.04",0.579352901508218,0.523014107752761,0.539667980624032,0.655297962798389,0.507779805162587,0.526108291534808,0.648930260047281,0.49975459957822,0.513658262694225,0.638729212709875
"0.045",0.577667725310556,0.521829595617473,0.540044419761005,0.664914422342337,0.511033903734229,0.527341290132946,0.65119537747832,0.499380822119768,0.515323789851089,0.636732401633919
"0.05",0.582820451812072,0.532066659813542,0.544782980002056,0.670441842014397,0.507806737785601,0.525761215757814,0.658770512201582,0.501234950332848,0.514970204042716,0.64706019541814
"0.055",0.585832741104351,0.5355418951421,0.54663771919119,0.673103672110284,0.516490040858018,0.532847558257302,0.667804368431987,0.505043648794115,0.518750100968917,0.650503366454801
"0.06",0.583682021845387,0.539675843340529,0.548386110787951,0.678060483749348,0.516988540074706,0.530161246885414,0.667484054851748,0.504436546810642,0.522099170655683,0.659370093509963
"0.065",0.589151806420115,0.542810041982076,0.55259302945271,0.680097249412686,0.510840992069881,0.529346773537647,0.671039043096403,0.500428821544265,0.514437251369494,0.6546582199254
"0.07",0.593691600064642,0.547810583732899,0.555466524435842,0.679428743456649,0.512763341804854,0.531447452740854,0.670673920441708,0.501976767336963,0.519364059628671,0.660790430028537
"0.075",0.595886055443329,0.542086788526609,0.554576256208232,0.683002272090635,0.518504928159844,0.534617837828024,0.672253677113049,0.503157996642366,0.516475086723431,0.65888984153264
"0.08",0.603945368824565,0.540153827217115,0.554750146694814,0.685196458641055,0.517070703067108,0.534135024223687,0.678236432839439,0.500541241601657,0.516483621024392,0.661393901420217
"0.085",0.600234070728338,0.545167333979046,0.556253620766488,0.686676369411401,0.515583150216421,0.531657129448809,0.678796290150348,0.503340951027403,0.519270910838942,0.669951875362025
"0.09",0.60587491238165,0.54723080105735,0.556630847029077,0.689042851396391,0.517848251962564,0.533539811169523,0.680918026120371,0.498958367797077,0.516520049567196,0.663155315597003
"0.095",0.6063259847557,0.545703482451735,0.556772966419298,0.689328943942268,0.516530602744157,0.533115309160859,0.6802118070746,0.503114245069393,0.516966555749124,0.672455247382991
"0.1",0.609824810853738,0.554512872535655,0.561536115543439,0.687523649842608,0.521661421985366,0.535516927390167,0.681974308312337,0.50482713335925,0.520442863301536,0.673130968222641
